Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,338.26001,366.75,325,350.480011,350.480011,133019100
12/1/2018,360,379.48999,294.089996,332.799988,332.799988,146451200
1/1/2019,306.100006,352,279.279999,307.019989,307.019989,175652100
2/1/2019,305.420013,324.23999,288.769989,319.880005,319.880005,128550100
3/1/2019,306.940002,307.130005,254.460007,279.859985,279.859985,213793500
4/1/2019,282.619995,296.170013,231.130005,238.690002,238.690002,230747300
5/1/2019,238.850006,258.350006,184.100006,185.160004,185.160004,282598800
6/1/2019,185.509995,234.740005,176.990005,223.460007,223.460007,214970600
7/1/2019,230.210007,266.070007,222.220001,241.610001,241.610001,199336700
8/1/2019,242.649994,244.509995,211,225.610001,225.610001,133790600
9/1/2019,224.080002,253.5,218.360001,240.869995,240.869995,135775300
10/1/2019,241.5,264.779999,224.279999,254.679993,254.679993,121992200
